Rank,Target,AvgScore,AvgSep,AvgH,AvgE,AvgBG
1,1004614_92.png,3.8712040276485125,21.541580511372846,0.8048072228402758,1.9370085497587077,243.68610283674414
2,1001542_89.png,3.6570656989098325,20.85549311473415,0.8219713353240621,1.9991280391021748,242.9757992457005
3,1004492_6.png,3.629686473277063,20.923434175464177,0.849066000696668,2.1632162590115147,243.76004109579355
4,1001015_87.png,3.556167784691726,17.767757708341943,1.0001379278120721,1.0795614152854278,244.4679525459459
5,1004553_27.png,3.4623528172951006,17.907824051864793,1.0885535618671194,0.9555781423729655,243.58606243873265
6,1002564_4.png,3.3943100656629785,15.294727085840588,1.0009018418409903,0.7489219040073959,243.1983751843406
7,1001564_73.png,3.3538673763343945,22.186569959285062,0.7782793137404763,1.9974598710357945,243.82782900718837
8,1004122_72.png,3.327113893659756,18.259177357100878,0.9480435835007693,1.4200902443658476,243.95446239109646
9,1002644_96.png,3.2293410605133364,16.679032542495417,0.9470416943713924,1.1048179658455424,243.01715733575944
10,1001939_83.png,3.2148211646930416,18.889205496670694,1.0959992617707954,1.578633074655267,243.94571888028977
11,1004545_51.png,3.1853107593710557,18.65268201597074,0.8582491675695348,1.5934110892095206,243.67747268278626
12,1003563_31.png,3.1007276698975987,16.292895418794824,0.9917264941841062,0.9867475642690766,243.84638461528385
13,1001343_53.png,3.0954806533322827,17.699482527642093,1.1021540836359978,1.2291559690784672,243.31977782949696
14,1001998_48.png,2.923658084882057,15.888859627640075,0.83767054469632,1.3564443620122222,243.23817619239867
